feature,avg_importance
atr_normalized_1D,7.5873222082049345
vol_body_product_1D,7.246101765988819
vol_body_product_3D,5.981547531847383
stoch_pos_1D_w10,5.185261206650606
vol_ratio_1D,3.228871740987053
vol_body_product_12H,3.0751657219151896
hour_sin,2.7986667940202836
vol_body_product_8H,2.385331639096067
stoch_pos_3D_w10,2.1775028183634397
vol_ratio_3D,1.792898976223663
cumsum_body_30M_w50,1.6141799297388246
dow_sin,1.3399573521905872
dow_cos,1.3362369941430436
slope_f_mag_5M,1.1887978169362114
stoch_pos_1D_w20,1.0957610432574019
atr_normalized_4H,1.0951948012245105
vol_body_product_6H,1.0901333910145845
stoch_pos_4H_w50,1.0804885603716692
stoch_pos_12H_w10,1.0556990777739166
trend_certainty_3D,1.0374760124773326
vol_impulse_3D,1.0171465743544321
cumsum_body_15M_w50,0.8820477634087917
stoch_pos_2H_w50,0.8645407277961299
norm_body_accum_15M,0.7989680970038132
accel_signed_4H,0.7442995041205341
stoch_pos_8H_w10,0.7236037414021128
cumsum_body_5M_w50,0.6771518847632403
stoch_pos_15M_w50,0.6745826895237811
slope_b_slow_1D,0.6584561974893415
stoch_pos_5M_w50,0.6429224303016471
vol_impulse_1D,0.6406836111322519
slope_f_mag_15M,0.6361867198855428
hour_cos,0.6160714214683869
corr_regime_1H,0.6058755471956377
vol_body_product_4H,0.6041330363884959
slope_f_mag_30M,0.5934302098813772
angle_slow_6H,0.576522908643808
slope_f_mag_1H,0.5751395849233704
wick_asymmetry_1D,0.5724756881228055
trend_certainty_1H,0.5702271206756337
cross_traj_1D,0.5671282015118488
vol_ratio_12H,0.5644740694463367
slope_b_slow_1H,0.5487449187308406
slope_f_mag_2H,0.5425345999688572
corr_regime_12H,0.5417781135002849
cross_tf_slope_agreement,0.5288172317953239
stoch_pos_6H_w50,0.5184922453458323
d_slope_b_1D,0.49321212409312365
